algo,linkage,eps,clusters,min_samples,num_clusters,silhouette_score,min_cluster_size,num_representative_clusters,silhouette_score_representative_clusters
DBSCAN,,1.0372751268321587,"[{'avg_silhouette': 0.4837079864545446, 'num_points': 7481}, {'avg_silhouette': 0.5964296561095308, 'num_points': 8}]",5.0,2,0.4775096728858245,,1,
DBSCAN,,1.0472751268321587,"[{'avg_silhouette': 0.48312346376980253, 'num_points': 7487}, {'avg_silhouette': 0.5965263161664984, 'num_points': 8}]",5.0,2,0.47748638024836326,,1,
DBSCAN,,1.0572751268321587,"[{'avg_silhouette': 0.48253620577257617, 'num_points': 7493}, {'avg_silhouette': 0.5966172674896264, 'num_points': 8}]",5.0,2,0.4774677651761658,,1,
DBSCAN,,1.0272751268321587,"[{'avg_silhouette': 0.3982174852126157, 'num_points': 7435}, {'avg_silhouette': 0.4934375507445547, 'num_points': 30}]",10.0,2,0.3909696943320184,,1,
DBSCAN,,1.0272751268321587,"[{'avg_silhouette': 0.39692812873534417, 'num_points': 7438}, {'avg_silhouette': 0.4934928577099161, 'num_points': 30}, {'avg_silhouette': 0.5959962150416195, 'num_points': 8}]",5.0,3,0.3907934364682717,,1,
DBSCAN,,0.9472751268321586,"[{'avg_silhouette': 0.3777997415706158, 'num_points': 6692}, {'avg_silhouette': 0.43339376248851036, 'num_points': 79}, {'avg_silhouette': 0.46293858762584816, 'num_points': 70}, {'avg_silhouette': 0.5221506472530699, 'num_points': 63}, {'avg_silhouette': 0.4584013799801052, 'num_points': 82}, {'avg_silhouette': 0.6526237143409493, 'num_points': 59}, {'avg_silhouette': 0.3997937050974822, 'num_points': 64}, {'avg_silhouette': 0.3937604914059604, 'num_points': 18}, {'avg_silhouette': 0.6139955549102026, 'num_points': 25}, {'avg_silhouette': 0.3538088911252478, 'num_points': 33}, {'avg_silhouette': 0.40559666017793905, 'num_points': 6}, {'avg_silhouette': 0.48305310522061146, 'num_points': 29}, {'avg_silhouette': 0.38150825363489077, 'num_points': 18}, {'avg_silhouette': 0.5052023675829034, 'num_points': 41}, {'avg_silhouette': 0.5887323613185165, 'num_points': 8}, {'avg_silhouette': 0.44756649629827455, 'num_points': 23}, {'avg_silhouette': 0.7190984634222982, 'num_points': 19}, {'avg_silhouette': 0.39385029025504287, 'num_points': 38}, {'avg_silhouette': 0.590691483778288, 'num_points': 21}, {'avg_silhouette': 0.4645872224413777, 'num_points': 6}, {'avg_silhouette': 0.4423529351620287, 'num_points': 6}, {'avg_silhouette': 0.2845046715778893, 'num_points': 10}]",5.0,22,0.373861037572668,,1,
DBSCAN,,0.9272751268321586,"[{'avg_silhouette': 0.3780960621936417, 'num_points': 6690}, {'avg_silhouette': 0.4333262460657782, 'num_points': 79}, {'avg_silhouette': 0.4628693912658563, 'num_points': 70}, {'avg_silhouette': 0.5220924156615699, 'num_points': 63}, {'avg_silhouette': 0.45833261199261494, 'num_points': 82}, {'avg_silhouette': 0.6525685270811109, 'num_points': 59}, {'avg_silhouette': 0.3997236852341469, 'num_points': 64}, {'avg_silhouette': 0.4134602894732317, 'num_points': 17}, {'avg_silhouette': 0.6139433339261909, 'num_points': 25}, {'avg_silhouette': 0.3537517738122673, 'num_points': 33}, {'avg_silhouette': 0.405539522244484, 'num_points': 6}, {'avg_silhouette': 0.48297758871663904, 'num_points': 29}, {'avg_silhouette': 0.3814403108833886, 'num_points': 18}, {'avg_silhouette': 0.5051434829199418, 'num_points': 41}, {'avg_silhouette': 0.5886965927847563, 'num_points': 8}, {'avg_silhouette': 0.44748978187180394, 'num_points': 23}, {'avg_silhouette': 0.7190502221166701, 'num_points': 19}, {'avg_silhouette': 0.39385029025504287, 'num_points': 38}, {'avg_silhouette': 0.5906675656693651, 'num_points': 21}, {'avg_silhouette': 0.4645361700538469, 'num_points': 6}, {'avg_silhouette': 0.44228048840166867, 'num_points': 6}, {'avg_silhouette': 0.2863513078412791, 'num_points': 9}]",5.0,22,0.3738357992400469,,1,
DBSCAN,,0.9572751268321587,"[{'avg_silhouette': 0.3776399936998212, 'num_points': 6693}, {'avg_silhouette': 0.43343321576768795, 'num_points': 79}, {'avg_silhouette': 0.4629822214638689, 'num_points': 70}, {'avg_silhouette': 0.5221833180075902, 'num_points': 63}, {'avg_silhouette': 0.4584438575667579, 'num_points': 82}, {'avg_silhouette': 0.6526545923789727, 'num_points': 59}, {'avg_silhouette': 0.39983534321304537, 'num_points': 64}, {'avg_silhouette': 0.39380133422016894, 'num_points': 18}, {'avg_silhouette': 0.6140281750888256, 'num_points': 25}, {'avg_silhouette': 0.3538441470075838, 'num_points': 33}, {'avg_silhouette': 0.4056332988829272, 'num_points': 6}, {'avg_silhouette': 0.48309492640201007, 'num_points': 29}, {'avg_silhouette': 0.38154982224221684, 'num_points': 18}, {'avg_silhouette': 0.5052334773812808, 'num_points': 41}, {'avg_silhouette': 0.5887528039873295, 'num_points': 8}, {'avg_silhouette': 0.44760977566459453, 'num_points': 23}, {'avg_silhouette': 0.7191253155757904, 'num_points': 19}, {'avg_silhouette': 0.39385029025504287, 'num_points': 38}, {'avg_silhouette': 0.5907057694813916, 'num_points': 21}, {'avg_silhouette': 0.4646204989529963, 'num_points': 6}, {'avg_silhouette': 0.4423914335743668, 'num_points': 6}, {'avg_silhouette': 0.2845386859189969, 'num_points': 10}]",5.0,22,0.3737949614160516,,1,
DBSCAN,,0.9372751268321586,"[{'avg_silhouette': 0.37794504351429065, 'num_points': 6691}, {'avg_silhouette': 0.43336011002102637, 'num_points': 79}, {'avg_silhouette': 0.46290360384191204, 'num_points': 70}, {'avg_silhouette': 0.5221215849253844, 'num_points': 63}, {'avg_silhouette': 0.45836540044338836, 'num_points': 82}, {'avg_silhouette': 0.6525957537360174, 'num_points': 59}, {'avg_silhouette': 0.3997600619849059, 'num_points': 64}, {'avg_silhouette': 0.4134976682233309, 'num_points': 17}, {'avg_silhouette': 0.613967224730819, 'num_points': 25}, {'avg_silhouette': 0.35377914477284444, 'num_points': 33}, {'avg_silhouette': 0.4055656180366942, 'num_points': 6}, {'avg_silhouette': 0.48301496727233456, 'num_points': 29}, {'avg_silhouette': 0.38147689677339575, 'num_points': 18}, {'avg_silhouette': 0.505173330597052, 'num_points': 41}, {'avg_silhouette': 0.5887147382747775, 'num_points': 8}, {'avg_silhouette': 0.4475273478047232, 'num_points': 23}, {'avg_silhouette': 0.7190741671596771, 'num_points': 19}, {'avg_silhouette': 0.39385029025504287, 'num_points': 38}, {'avg_silhouette': 0.5906794226154516, 'num_points': 21}, {'avg_silhouette': 0.4645595829649772, 'num_points': 6}, {'avg_silhouette': 0.4423162405269507, 'num_points': 6}, {'avg_silhouette': 0.2863811614421994, 'num_points': 9}]",5.0,22,0.3737705665794911,,1,
DBSCAN,,0.9672751268321587,"[{'avg_silhouette': 0.3773600133751728, 'num_points': 6695}, {'avg_silhouette': 0.4335330256932298, 'num_points': 79}, {'avg_silhouette': 0.46307490979423044, 'num_points': 70}, {'avg_silhouette': 0.522261417406924, 'num_points': 63}, {'avg_silhouette': 0.45853708959408646, 'num_points': 82}, {'avg_silhouette': 0.6527268764972172, 'num_points': 59}, {'avg_silhouette': 0.3999364932861181, 'num_points': 64}, {'avg_silhouette': 0.39389924225270956, 'num_points': 18}, {'avg_silhouette': 0.6141004453384094, 'num_points': 25}, {'avg_silhouette': 0.35393056685470325, 'num_points': 33}, {'avg_silhouette': 0.40572108905364773, 'num_points': 6}, {'avg_silhouette': 0.4831909629979596, 'num_points': 29}, {'avg_silhouette': 0.38165008513545234, 'num_points': 18}, {'avg_silhouette': 0.4902309690075768, 'num_points': 42}, {'avg_silhouette': 0.5888062966332046, 'num_points': 8}, {'avg_silhouette': 0.44770496339723354, 'num_points': 23}, {'avg_silhouette': 0.719186611689285, 'num_points': 19}, {'avg_silhouette': 0.39385029025504287, 'num_points': 38}, {'avg_silhouette': 0.5907373329885476, 'num_points': 21}, {'avg_silhouette': 0.46468879192826584, 'num_points': 6}, {'avg_silhouette': 0.4424956909309164, 'num_points': 6}, {'avg_silhouette': 0.28464084364209136, 'num_points': 10}]",5.0,22,0.37373061897345927,,1,
